sector_rank,sector,sector_description,sector_company_count,sector_median_growth_score,sector_median_employee_cagr,sector_std_employee_cagr,sector_median_5yr_employee_cagr,sector_cagr_acceleration_pct,sector_median_revenue_cagr,sector_entry_rate_pct,sector_acquisition_pct,sector_avg_rounds_per_company,sector_median_3yr_followers_cagr,sector_rank_median_employee_cagr,sector_rank_acquisition_pct,sector_rank_median_revenue_cagr,sector_rank_avg_rounds_per_company,sector_rank_entry_rate_pct,thematic_rank,thematic_sector,thematic_sector_description,company_count,median_growth_score,median_employee_cagr,std_employee_cagr,median_5yr_employee_cagr,cagr_acceleration_pct,median_revenue_cagr,entry_rate_pct,acquisition_pct,avg_rounds_per_company,median_3yr_followers_cagr,rank_median_employee_cagr,rank_acquisition_pct,rank_median_revenue_cagr,rank_avg_rounds_per_company,rank_entry_rate_pct
2,"Utilities (Electricity, Gas, Water)","The Utilities sector comprises companies delivering essential services, including electricity generation, transmission, distribution, and supply, alongside gas and water provision and management. These entities serve residential, commercial, and industrial customers by operating extensive, complex infrastructure. The sector is critical for public welfare and economic stability, currently undergoing significant transformation towards decarbonization, renewable energy integration, and sustainable resource management to ensure reliable and environmentally responsible services.",143,0.012,11.4,16.7,11.5,-1.1,14,3.5,7.7,0.27272727,23.2,6,17,9,5,3,1,Commercial & Industrial Energy Optimization & Decarbonization,"This segment provides businesses with integrated, technology-driven solutions for energy supply, optimization, and decarbonization. They offer renewable energy procurement, advanced metering, data analytics, and demand-side management. Services help commercial and industrial clients manage consumption, reduce costs, and achieve sustainability targets.",25,0.022,16.2,23.5,15.4,5.2,null,0,16,0.12,23,18,25,null,74,31
2,"Utilities (Electricity, Gas, Water)","The Utilities sector comprises companies delivering essential services, including electricity generation, transmission, distribution, and supply, alongside gas and water provision and management. These entities serve residential, commercial, and industrial customers by operating extensive, complex infrastructure. The sector is critical for public welfare and economic stability, currently undergoing significant transformation towards decarbonization, renewable energy integration, and sustainable resource management to ensure reliable and environmentally responsible services.",143,0.012,11.4,16.7,11.5,-1.1,14,3.5,7.7,0.27272727,23.2,6,17,9,5,3,2,Digital Grid & Flexible Energy Asset Management,"This segment provides digital platforms, software, and services for intelligent management and optimization of electricity grids and flexible energy assets, such as battery storage and demand response. They enable grid operators, asset owners, and energy suppliers to enhance grid stability, optimize asset performance, and facilitate market integration for the energy transition.",23,0.017,13.2,17.8,10.9,21.4,14,0,0,0.13043478,28.6,41,196,12,65,31
2,"Utilities (Electricity, Gas, Water)","The Utilities sector comprises companies delivering essential services, including electricity generation, transmission, distribution, and supply, alongside gas and water provision and management. These entities serve residential, commercial, and industrial customers by operating extensive, complex infrastructure. The sector is critical for public welfare and economic stability, currently undergoing significant transformation towards decarbonization, renewable energy integration, and sustainable resource management to ensure reliable and environmentally responsible services.",143,0.012,11.4,16.7,11.5,-1.1,14,3.5,7.7,0.27272727,23.2,6,17,9,5,3,3,High Voltage Electrical Infrastructure Services,"These companies provide specialized engineering, design, construction, and maintenance services for high voltage (HV) electrical transmission and distribution infrastructure up to 132kV. They serve utility operators, renewable energy developers, and industrial clients, focusing on grid connections, substations, overhead lines, and underground cables for reliable power delivery.",11,0.016,12.8,28.5,13.7,-6.9,null,0,9.1,0,23.5,46,100,null,180,31
2,"Utilities (Electricity, Gas, Water)","The Utilities sector comprises companies delivering essential services, including electricity generation, transmission, distribution, and supply, alongside gas and water provision and management. These entities serve residential, commercial, and industrial customers by operating extensive, complex infrastructure. The sector is critical for public welfare and economic stability, currently undergoing significant transformation towards decarbonization, renewable energy integration, and sustainable resource management to ensure reliable and environmentally responsible services.",143,0.012,11.4,16.7,11.5,-1.1,14,3.5,7.7,0.27272727,23.2,6,17,9,5,3,4,Integrated Flexible & Responsive Power Solutions,"These companies develop, operate, and provide diverse power solutions, including energy-from-waste, biomass, flexible thermal, and critical backup generation alongside battery storage. They serve utilities, industrial, and commercial clients, ensuring grid stability, energy security, and facilitating decarbonization. Their core distinction is delivering agile, reliable, and specialized power infrastructure tailored for varying demands and sustainable energy transition.",24,0.011,10.6,14.4,10.3,3.5,null,0,8.3,1.375,22.9,95,108,null,2,31
2,"Utilities (Electricity, Gas, Water)","The Utilities sector comprises companies delivering essential services, including electricity generation, transmission, distribution, and supply, alongside gas and water provision and management. These entities serve residential, commercial, and industrial customers by operating extensive, complex infrastructure. The sector is critical for public welfare and economic stability, currently undergoing significant transformation towards decarbonization, renewable energy integration, and sustainable resource management to ensure reliable and environmentally responsible services.",143,0.012,11.4,16.7,11.5,-1.1,14,3.5,7.7,0.27272727,23.2,6,17,9,5,3,5,Independent Multi-Utility Network Providers for New Developments,"These are Independent Connection Providers (ICPs) and Independent Distribution Network Operators (IDNOs/NAVs) delivering integrated multi-utility solutions (electricity, gas, water, fibre, heat). They design, build, connect, and operate networks for new residential and commercial developments. Their 'one-stop-shop' approach simplifies complex utility infrastructure for new builds.",16,0.009,11.9,9.6,15.7,-24.3,null,0,6.2,0,24.6,61,141,null,180,31
2,"Utilities (Electricity, Gas, Water)","The Utilities sector comprises companies delivering essential services, including electricity generation, transmission, distribution, and supply, alongside gas and water provision and management. These entities serve residential, commercial, and industrial customers by operating extensive, complex infrastructure. The sector is critical for public welfare and economic stability, currently undergoing significant transformation towards decarbonization, renewable energy integration, and sustainable resource management to ensure reliable and environmentally responsible services.",143,0.012,11.4,16.7,11.5,-1.1,14,3.5,7.7,0.27272727,23.2,6,17,9,5,3,6,Integrated MEP & Building Energy Solutions,"These companies specialize in the design, installation, maintenance, and optimization of mechanical, electrical, and plumbing (MEP) systems within commercial, industrial, and large residential buildings. They focus on delivering integrated building services, energy efficiency solutions, and renewable energy technologies to enhance operational performance and reduce carbon footprint. Their distinction lies in providing comprehensive, on-site utility management and smart building technologies for complex facilities.",21,0.012,11.8,10.2,11.8,0,null,0,9.5,0,24.5,65,94,null,180,31
2,"Utilities (Electricity, Gas, Water)","The Utilities sector comprises companies delivering essential services, including electricity generation, transmission, distribution, and supply, alongside gas and water provision and management. These entities serve residential, commercial, and industrial customers by operating extensive, complex infrastructure. The sector is critical for public welfare and economic stability, currently undergoing significant transformation towards decarbonization, renewable energy integration, and sustainable resource management to ensure reliable and environmentally responsible services.",143,0.012,11.4,16.7,11.5,-1.1,14,3.5,7.7,0.27272727,23.2,6,17,9,5,3,7,Water and Wastewater Infrastructure & Services,"This segment comprises companies delivering integrated services for the full water lifecycle, from raw water abstraction, treatment, and distribution to wastewater management and asset optimization. They serve residential, commercial, and industrial clients, utilizing advanced technologies and sustainable practices to ensure reliable water supply, efficient networks, and environmental protection.",23,0.008,8.5,9.2,7.4,15.2,null,0,4.3,0,17.5,155,165,null,180,31
3,Hospitality & Tourism,"This sector encompasses businesses providing accommodation, food & beverage, travel, leisure activities, event management, and diverse entertainment services. They cater to a broad clientele, including individual tourists, families, corporate groups, and local communities, delivering memorable experiences and essential services. Distinguished by its emphasis on customer satisfaction, personalized service, and constant innovation, it is crucial for social engagement, cultural exchange, and economic growth.",621,0.012,12.5,25.1,11.5,8.4,7.9,1.3,6.8,0.06441224,18.7,2,22,15,20,18,1,Bespoke Dining & Event Venue Hospitality,"These companies offer high-quality, bespoke food and beverage services through restaurants, pubs, cafes, and event catering, serving individuals, businesses, and event planners. They distinguish themselves by combining curated culinary experiences with unique venues and integrated hospitality services like accommodation or event management.",209,0.014,14.3,21,13.3,7.8,7.9,0,7.7,0.06698565,20.9,26,119,21,109,31
3,Hospitality & Tourism,"This sector encompasses businesses providing accommodation, food & beverage, travel, leisure activities, event management, and diverse entertainment services. They cater to a broad clientele, including individual tourists, families, corporate groups, and local communities, delivering memorable experiences and essential services. Distinguished by its emphasis on customer satisfaction, personalized service, and constant innovation, it is crucial for social engagement, cultural exchange, and economic growth.",621,0.012,12.5,25.1,11.5,8.4,7.9,1.3,6.8,0.06441224,18.7,2,22,15,20,18,2,Community Sport & Wellbeing Hubs,"These organizations operate diverse leisure and fitness facilities such as gyms, pools, and sports courts. They provide structured programs, classes, and coaching for all ages, focusing on physical activity, health, and social connection. Distinctively, many are non-profit, reinvesting surpluses to promote community wellbeing and inclusive participation.",74,0.016,14.6,27,12.1,20.7,null,0,4.1,0.09459459,19.9,24,170,null,87,31
3,Hospitality & Tourism,"This sector encompasses businesses providing accommodation, food & beverage, travel, leisure activities, event management, and diverse entertainment services. They cater to a broad clientele, including individual tourists, families, corporate groups, and local communities, delivering memorable experiences and essential services. Distinguished by its emphasis on customer satisfaction, personalized service, and constant innovation, it is crucial for social engagement, cultural exchange, and economic growth.",621,0.012,12.5,25.1,11.5,8.4,7.9,1.3,6.8,0.06441224,18.7,2,22,15,20,18,3,Professional Sports Club Hospitality & Entertainment,"These are professional sports clubs offering immersive fan experiences and extensive venue hospitality. They provide diverse ticketing, premium matchday packages, branded merchandise, and digital content to a global fanbase. Distinctively, they leverage their stadium facilities for non-matchday events and their brand for significant commercial partnerships and community engagement.",69,0.01,11.7,22.3,11.5,1.1,null,0,7.2,0.05797101,15.4,66,126,null,122,31
3,Hospitality & Tourism,"This sector encompasses businesses providing accommodation, food & beverage, travel, leisure activities, event management, and diverse entertainment services. They cater to a broad clientele, including individual tourists, families, corporate groups, and local communities, delivering memorable experiences and essential services. Distinguished by its emphasis on customer satisfaction, personalized service, and constant innovation, it is crucial for social engagement, cultural exchange, and economic growth.",621,0.012,12.5,25.1,11.5,8.4,7.9,1.3,6.8,0.06441224,18.7,2,22,15,20,18,4,Curated Leisure Travel & Destination Experiences,"This segment comprises providers of multi-faceted leisure travel and hospitality experiences. They offer curated packages, integrated resort stays, and specialized destination services, encompassing accommodation, activities, and transport for diverse travelers. Distinctively, these companies focus on delivering comprehensive, often themed or tailor-made, end-to-end journeys and destinations rather than isolated travel components.",247,0.011,11.5,29,9.9,16.9,null,0,6.5,0.06072874,18.1,69,137,null,119,31
3,Hospitality & Tourism,"This sector encompasses businesses providing accommodation, food & beverage, travel, leisure activities, event management, and diverse entertainment services. They cater to a broad clientele, including individual tourists, families, corporate groups, and local communities, delivering memorable experiences and essential services. Distinguished by its emphasis on customer satisfaction, personalized service, and constant innovation, it is crucial for social engagement, cultural exchange, and economic growth.",621,0.012,12.5,25.1,11.5,8.4,7.9,1.3,6.8,0.06441224,18.7,2,22,15,20,18,5,Academic Residential Hospitality,"These entities provide comprehensive residential living solutions and integrated support services for students and young people in educational settings, including purpose-built student housing and boarding school facilities. They offer furnished accommodation with all-inclusive amenities, pastoral care, and community-building programs, distinctly focusing on creating safe, supportive environments that enhance academic and personal development.",22,0.011,10.2,9.4,10.3,-1.2,null,0,9.1,0,19,108,100,null,180,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,1,Specialty Food & Beverage Retailers and Service Providers,"These companies specialize in high-quality, often handcrafted, food and beverage products such as freshly roasted specialty coffees, artisan baked goods, and gourmet prepared meals. They serve individual consumers through retail and online channels, also providing wholesale and comprehensive business solutions. Distinctive for direct production, multi-channel distribution, and unique customer experiences.",54,0.017,17.3,19.6,20.2,-14.2,9.1,0,9.3,0.12962963,19.7,11,98,16,67,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,2,Integrated Pharmacy and Digital Health Solutions,"This segment includes retail and online pharmacies providing prescription and over-the-counter medicines. They offer integrated healthcare services like clinical consultations, vaccinations, and specialized treatments, often via digital platforms for convenient access. Distinctively, they blend traditional pharmacy roles with e-commerce and expanded health solutions, meeting diverse patient and community needs.",12,0.017,19.4,16.8,20.1,-3.4,null,0,8.3,0.25,16.2,6,108,null,37,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,3,Specialty & On-Demand Grocery Fulfillment,"These companies specialize in supplying fresh, organic, or niche grocery products and prepared foods directly to consumers and commercial clients. They distinguish themselves through diverse, technology-driven fulfillment models, including rapid and doorstep delivery services. This approach prioritizes convenience, product quality, and often sustainability, modernizing access to specialized grocery items.",11,0.013,16,13,38.8,-58.7,null,0,18.2,1.27272727,19.5,19,17,null,3,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,4,Specialized Beauty & Personal Care Retail & Wholesale,"This segment encompasses retailers and wholesalers specializing in premium, professional-grade, and innovative beauty and personal care. Products range from luxury fragrances, advanced skincare, and professional hair/nail solutions to at-home beauty technologies. Serving discerning consumers and industry professionals, these companies provide high-quality, targeted solutions for enhancing appearance and well-being.",22,0.044,16.8,23.7,25.8,-35,null,0,13.6,0.22727273,31.3,14,43,null,40,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,5,Professional Sports Clubs & Entertainment Enterprises,"These are professional sports clubs offering live match experiences, branded merchandise, and digital content to fans globally. They also provide B2B services like event venue hire and corporate sponsorships. Their distinctive model integrates sports entertainment, retail, and community engagement, operating as diversified commercial enterprises around a core athletic product.",33,0.018,17,9.5,15.5,9.6,null,0,12.1,0.03030303,18.7,13,60,null,150,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,6,Technical Building Services & Renewable Energy Distributors,"These specialized distributors provide comprehensive plumbing, heating, HVAC, electrical, and renewable energy systems, components, and spares. They primarily serve trade professionals and commercial clients, offering extensive technical support, design services, and training. Their distinctive focus is on enabling integrated solutions for new installations and maintenance of essential building infrastructure.",18,0.016,14.3,21,16.7,-14.4,null,0,5.6,0,20.5,27,154,null,180,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,7,Integrated Craft Beverage Production & Retail,"This cluster integrates the production, retail, and hospitality experiences of craft wines, beers, and spirits, operating breweries, wineries, distilleries, shops, and on-premise venues. Distinctiveness lies in connecting beverage creation with direct-to-consumer sales and unique consumption environments for curated selections.",5,0.014,13.8,14,17.1,-19.3,null,0,0,0,27.6,31,196,null,180,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,8,Integrated Automotive Retail & Aftermarket Services,"These businesses operate dealerships selling new and used cars, light commercial vehicles, and motorcycles, often including electric models. They provide comprehensive aftermarket services like maintenance, repairs, and financing options. Serving individual consumers and business fleets, their distinction is offering end-to-end solutions for vehicle acquisition, ownership, and ongoing care.",75,0.013,13.4,13.7,13.1,2.2,null,0,5.3,0.06666667,18.1,36,157,null,110,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,9,Premium & Bespoke Home Furnishings,"These companies design, manufacture, and retail high-quality furniture and sophisticated home furnishings, including bespoke sofas, beds, and luxury decor. They serve discerning consumers and property professionals seeking premium, durable, and aesthetically superior items. Distinction stems from craftsmanship, bespoke customization, designer brands, and premium materials for comfort and style.",19,0.015,12.3,17.3,18.1,-32.1,null,0,10.5,0,22,55,76,null,180,31
4,Retail & Wholesale Trade,"The Retail & Wholesale Trade sector comprises companies that distribute and sell a vast array of physical goods and related services. These businesses offer products from consumer goods like apparel, food, and electronics to specialized items such as building materials and vehicles, serving both individual customers and other enterprises. This sector is fundamental for connecting producers to end-users, driving economic activity, and providing essential convenience, variety, and specialized support across diverse markets.",735,0.012,11.8,22.8,12,-2.4,8,1.5,7.1,0.09387755,19.7,4,19,13,14,15,10,Niche Retail & Integrated Sector Solutions,"These companies offer highly specialized products, from curated fashion and personalized gifts for consumer niches to comprehensive B2B supplies for education, healthcare, and social housing. They provide integrated services, digital platforms, or unique experiences alongside their goods, distinguishing them from traditional transactional retailers and wholesalers.",273,0.011,10.8,30.6,10.1,6.6,3.9,0.4,6.2,0.09157509,19.7,92,142,25,90,29
